SubstitutionID,Category,Original_ItemID,Original_ItemName,Description,Base_Price,Meal_Price,Meal_Components,Substitute_ID,SubstituteName,Priority,RAG_Justification
SUB-019,SIDE_SPEC,MENU-017,Roll,"A single roll, baked fresh in-house.",1.99,NULL,NULL,MENU-007,Veggie Medley,,We also have a selection of refreshing juices!
SUB-019,SIDE_SPEC,MENU-017,Roll,"A single roll, baked fresh in-house.",1.99,NULL,NULL,MENU-004,Mashed Potatoes,,A cold fountain drink is a perfect refresher.
SUB-019,SIDE_SPEC,MENU-017,Roll,"A single roll, baked fresh in-house.",1.99,NULL,NULL,POF-001,Bun,,A crisp bottle of water is always a good option.
SUB-020,SIDE_SPEC,POF-001,Bun,"A single bun, baked fresh in-house.",1.99,NULL,NULL,MENU-017,Roll,,"A cup of our fresh, hot coffee is a great way to start!"
SUB-021,DRINK,MENU-013,Coffee,Imported medium roast coffee,1.99,NULL,NULL,MENU-014,Milk,,"A cold, refreshing glass of milk is a great choice."
SUB-021,DRINK,MENU-013,Coffee,Imported coffee,1.99,NULL,NULL,MENU-015,Juice,,A cold fountain drink is a perfect refresher.
SUB-021,DRINK,MENU-013,Coffee,Imported coffee,1.99,NULL,NULL,MENU-018,Fountain Drink,,A crisp bottle of water is always a good option.
SUB-021,DRINK,MENU-013,Coffee,Imported coffee,1.99,NULL,NULL,MENU-019,Bottle Water,,"A cup of our fresh, hot coffee is a great way to start!"
SUB-022,DRINK,MENU-014,Milk,Locally source dairy milk.,1.99,NULL,NULL,MENU-013,Coffee,,"A cold, refreshing glass of milk is a great choice."
SUB-022,DRINK,MENU-014,Milk,Locally source dairy milk.,1.99,NULL,NULL,MENU-015,Juice,,We also have a selection of refreshing juices!
SUB-022,DRINK,MENU-014,Milk,Locally source dairy milk.,1.99,NULL,NULL,MENU-018,Fountain Drink,,A cold fountain drink is a perfect refresher.
SUB-022,DRINK,MENU-014,Milk,Locally source dairy milk.,1.99,NULL,NULL,MENU-019,Bottle Water,,A crisp bottle of water is always a good option.
SUB-023,DRINK,MENU-015,Juice,"Your choice of apple, orange, or fruit punch juice. Freshly squeezed in-house.",2.99,NULL,NULL,MENU-013,Coffee,,"A cup of our fresh, hot coffee is a great way to start!"
SUB-023,DRINK,MENU-015,Juice,"Your choice of apple, orange, or fruit punch juice. Freshly squeezed in-house.",2.99,NULL,NULL,MENU-014,Milk,,"A cold, refreshing glass of milk is a great choice."
SUB-023,DRINK,MENU-015,Juice,"Your choice of apple, orange, or fruit punch juice. Freshly squeezed in-house.",2.99,NULL,NULL,MENU-018,Fountain Drink,,A cold fountain drink is a perfect refresher.
SUB-023,DRINK,MENU-015,Juice,"Your choice of apple, orange, or fruit punch juice. Freshly squeezed in-house.",2.99,NULL,NULL,MENU-019,Bottle Water,,A crisp bottle of water is always a good option.
SUB-024,DRINK,MENU-018,Fountain Drink,Your choice of soft drink.,2.99,NULL,NULL,MENU-013,Coffee,,"A cup of our fresh, hot coffee is a great way to start!"
SUB-024,DRINK,MENU-018,Fountain Drink,Your choice of soft drink.,2.99,NULL,NULL,MENU-014,Milk,,"A cold, refreshing glass of milk is a great choice."
SUB-024,DRINK,MENU-018,Fountain Drink,Your choice of soft drink.,2.99,NULL,NULL,MENU-015,Juice,,We also have a selection of refreshing juices!
SUB-024,DRINK,MENU-018,Fountain Drink,Your choice of soft drink.,2.99,NULL,NULL,MENU-019,Bottle Water,,A crisp bottle of water is always a good option.
SUB-025,DRINK,MENU-019,Bottle Water,Locally sourced bottled water.,1.99,NULL,NULL,MENU-013,Coffee,,"A cup of our fresh, hot coffee is a great way to start!"
SUB-025,DRINK,MENU-019,Bottle Water,Locally sourced bottled water.,1.99,NULL,NULL,MENU-014,Milk,,"A cold, refreshing glass of milk is a great choice."
SUB-025,DRINK,MENU-019,Bottle Water,Locally sourced bottled water.,1.99,NULL,NULL,MENU-015,Juice,,We also have a selection of refreshing juices!
SUB-025,DRINK,MENU-019,Bottle Water,Locally sourced bottled water.,1.99,NULL,NULL,MENU-018,Fountain Drink,,A cold fountain drink is a perfect refresher.
